"","animal.ID","age.years","age.class","Sex","BCS.Average","elevation","CAA.Estimate","Result","x.east","y.south"
"184",190,1,"Calf","Female",4.25,352.416046142578,37,"positive",361375.379941575,7282863.73900907
"185",191,6,"Adult","Female",3.75,352.416046142578,NA,"negative",361205.212133364,7282965.04887043
"186",192,1,"Calf","Female",3.75,352.416046142578,NA,"negative",361205.212133364,7282965.04887043
"187",193,1,"Calf","Female",4,352.416046142578,NA,"negative",361205.212133364,7282965.04887043
"188",194,1.25,"Subadult","Female",4.25,352.416046142578,0,"negative",361205.212133364,7282965.04887043
"189",195,1.25,"Subadult","Female",4.25,352.416046142578,NA,"negative",361205.212133364,7282965.04887043
"190",196,5.5,"Adult","Female",4.25,286.351379394531,57,"positive",381875.224342237,7267721.70525478
"191",197,6.3,"Adult","Female",4,286.351379394531,14,"negative",381875.224342237,7267721.70525478
"192",198,7.7,"Adult","Female",4.5,286.351379394531,19,"negative",381875.224342237,7267721.70525478
"193",199,1.75,"Subadult","Male",4.25,286.351379394531,7,"negative",381875.224342237,7267721.70525478
"194",200,1.75,"Subadult","Male",4.25,286.351379394531,625,"positive",381875.224342237,7267721.70525478
"195",201,1,"Calf","Male",3.75,286.351379394531,NA,"negative",381875.224342237,7267721.70525478
"196",202,1.25,"Subadult","Female",4.25,286.351379394531,NA,"negative",381875.224342237,7267721.70525478
"197",203,1.5,"Subadult","Male",4,286.351379394531,12,"negative",381875.224342237,7267721.70525478
"198",204,1.5,"Subadult","Female",4,286.351379394531,112,"positive",381875.224342237,7267721.70525478
"199",205,1.25,"Subadult","Male",4.25,286.351379394531,NA,"negative",381875.224342237,7267721.70525478
"200",206,1,"Calf","Female",4.25,286.351379394531,NA,"negative",381875.224342237,7267721.70525478
"201",207,7.4,"Adult","Female",3.5,237.573989868164,NA,"negative",381366.947841794,7310189.78571136
"202",208,7.3,"Adult","Female",4,237.573989868164,NA,"negative",381366.947841794,7310189.78571136
"203",209,12.1,"Adult","Female",4.5,237.573989868164,66,"positive",381366.947841794,7310189.78571136
"204",210,1.25,"Subadult","Male",4.25,237.573989868164,1084,"positive",381366.947841794,7310189.78571136
"205",211,1.5,"Subadult","Female",4.25,237.573989868164,NA,"positive",381366.947841794,7310189.78571136
"206",212,1,"Calf","Male",3.75,237.573989868164,4,"negative",381366.947841794,7310189.78571136
"207",213,2,"Subadult","Female",4,237.573989868164,9,"negative",381366.947841794,7310189.78571136
"208",214,6.2,"Adult","Female",4.75,286.152069091797,180,"positive",376543.151047185,7306238.94136354
"209",215,3.5,"Adult","Female",4.25,286.152069091797,16,"negative",376543.151047185,7306238.94136354
"210",216,2,"Subadult","Female",4.5,286.152069091797,NA,"negative",376543.151047185,7306238.94136354
"211",217,4.5,"Adult","Female",4,256.568634033203,11,"negative",379246.253850378,7307726.27311176
"212",218,7,"Adult","Female",4.75,256.568634033203,NA,"negative",379246.253850378,7307726.27311176
"213",219,1,"Calf","Female",4.25,256.568634033203,3841,"positive",379246.253850378,7307726.27311176
"214",220,1.25,"Subadult","Male",3.75,256.568634033203,98,"positive",379246.253850378,7307726.27311176
"215",221,1.5,"Subadult","Female",3.75,256.568634033203,13,"negative",379246.253850378,7307726.27311176
"216",222,8.9,"Adult","Female",4.5,256.568634033203,NA,"negative",379246.253850378,7307726.27311176
"217",223,12.2,"Adult","Female",3.75,256.568634033203,11,"negative",379246.253850378,7307726.27311176
"218",224,3.5,"Subadult","Female",5,256.568634033203,NA,"negative",379246.253850378,7307726.27311176
"219",225,1,"Calf","Male",3.75,256.568634033203,25,"negative",379246.253850378,7307726.27311176
"220",226,1,"Calf","Female",3.5,256.568634033203,NA,"negative",379246.253850378,7307726.27311176
"221",227,1,"Calf","Female",4,256.568634033203,30,"negative",379246.253850378,7307726.27311176
"222",228,1.25,"Subadult","Female",4.5,256.568634033203,NA,"negative",379246.253850378,7307726.27311176
"223",229,4.5,"Adult","Female",4.75,248.857391357422,NA,"negative",361424.400542204,7329294.33538819
"224",230,9,"Adult","Female",4.5,248.857391357422,21,"negative",361424.400542204,7329294.33538819
"225",231,1.5,"Subadult","Male",3.5,248.857391357422,41,"positive",361424.400542204,7329294.33538819
"226",232,1.5,"Subadult","Male",4.25,248.857391357422,166,"positive",361424.400542204,7329294.33538819
"227",233,1.25,"Subadult","Male",4.25,248.857391357422,265,"positive",361424.400542204,7329294.33538819
"228",234,1.25,"Subadult","Male",3.5,248.857391357422,28,"negative",361424.400542204,7329294.33538819
"229",235,7.2,"Adult","Female",4.75,248.857391357422,19,"negative",361425.022111159,7329293.12321846
"230",236,1.25,"Calf","Female",4,248.857391357422,NA,"negative",361425.022111159,7329293.12321846
"231",237,1,"Calf","Female",4,248.857391357422,NA,"negative",361425.022111159,7329293.12321846
"232",238,2,"Subadult","Female",4.5,248.857391357422,9,"negative",361425.022111159,7329293.12321846
"233",239,1.25,"Subadult","Male",4.25,248.857391357422,18,"negative",361425.022111159,7329293.12321846
"234",240,3.5,"Subadult","Female",4.5,256.056884765625,6,"negative",361060.040235705,7326602.82151694
"235",241,11.9,"Adult","Female",4.25,256.056884765625,7,"negative",361060.040235705,7326602.82151694
"236",242,1.25,"Subadult","Male",4,256.056884765625,NA,"negative",361060.040235705,7326602.82151694
"237",243,1.25,"Subadult","Male",4.25,256.056884765625,NA,"negative",361060.040235705,7326602.82151694
"238",244,2,"Subadult","Female",4.5,256.056884765625,15,"negative",361060.040235705,7326602.82151694
"239",245,1.25,"Subadult","Female",3.5,256.056884765625,6,"negative",360922.755491806,7326925.97079994
"240",246,1.75,"Subadult","Male",4,256.056884765625,7,"negative",360922.755491806,7326925.97079994
"241",247,1.25,"Subadult","Male",3.5,256.056884765625,8,"negative",360922.755491806,7326925.97079994
"242",248,1.25,"Subadult","Male",3.25,256.056884765625,5,"negative",360922.755491806,7326925.97079994
"243",249,1,"Calf","Female",4,256.056884765625,NA,"negative",360922.755491806,7326925.97079994
